Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,MDA,Moldova,2018,All,Age_all,[All],37200.00000000,100.00000000,750.58446433,1049.32859890,
EU,Europe,MDA,Moldova,2018,Male,Age_all,[All],19720.00000000,100.00000000,990.18678173,1157.35102770,
EU,Europe,MDA,Moldova,2018,Female,Age_all,[All],17480.00000000,100.00000000,565.53886314,949.36382305,
AS,Asia,MDV,Maldives,2019,All,Age_all,[All],1132.00000000,100.00000000,384.18988797,213.20154515,
AS,Asia,MDV,Maldives,2019,Male,Age_all,[All],714.00000000,100.00000000,447.59689796,212.45573839,
AS,Asia,MDV,Maldives,2019,Female,Age_all,[All],417.00000000,100.00000000,313.27187327,213.97014680,
AS,Asia,MDV,Maldives,2019,Unknown,Age_all,[All],1.00000000,100.00000000,,,
EU,Europe,MKD,North Macedonia,2021,All,Age_all,[All],28516.00000000,100.00000000,848.97496156,1552.55611520,
EU,Europe,MKD,North Macedonia,2021,Male,Age_all,[All],15155.00000000,100.00000000,1002.12116270,1663.39767770,
EU,Europe,MKD,North Macedonia,2021,Female,Age_all,[All],13361.00000000,100.00000000,712.87842027,1443.45556410,
EU,Europe,MNE,Montenegro,2019,All,Age_all,[All],5069.00000000,100.00000000,473.10125836,814.91508421,
EU,Europe,MNE,Montenegro,2019,Male,Age_all,[All],2657.00000000,100.00000000,572.84673820,863.68866900,
EU,Europe,MNE,Montenegro,2019,Female,Age_all,[All],2412.00000000,100.00000000,388.39016599,767.19021355,
AS,Asia,MNG,Mongolia,2021,All,Age_all,[All],19931.00000000,100.00000000,855.53651005,607.13803762,
AS,Asia,MNG,Mongolia,2021,Male,Age_all,[All],11757.00000000,100.00000000,1144.66020630,726.74135592,
AS,Asia,MNG,Mongolia,2021,Female,Age_all,[All],8174.00000000,100.00000000,635.72924603,490.92812984,
AS,Asia,MYS,Malaysia,2020,All,Age_all,[All],109155.00000000,100.00000000,371.85438021,337.25206505,
AS,Asia,MYS,Malaysia,2020,Male,Age_all,[All],65918.00000000,100.00000000,442.55743607,396.36065898,
AS,Asia,MYS,Malaysia,2020,Female,Age_all,[All],43237.00000000,100.00000000,301.10707097,274.77910174,
